,Marque,Model,Marque_Model,Prix,Mise_en_circulation,Puissance_fiscale,Kilometrage,Carburant,Boite_Vitesse,Gouvernorat
3441,Mazda,2SEDAN,Mazda 2SEDAN,33000,2017,6,190000,Essence,Manuelle,gafsa
3442,Fiat,DUCATO,Fiat DUCATO,35000,2011,6,263000,Diesel,Manuelle,kairouan
3443,MERCEDES-BENZ,ClasseC,MERCEDES-BENZ ClasseC,60000,2012,6,160000,Diesel,Manuelle,medenine
3444,Citroen,C4,Citroen C4,37000,2015,6,119000,Essence,Manuelle,monastir
3445,Nissan,QASHQAI+2,Nissan QASHQAI+2,41000,2010,6,211000,Diesel,Manuelle,bizerte
3446,Nissan,Qashqai,Nissan Qashqai,85000,2016,6,130000,Essence,Automatique,beja
3447,Mazda,3,Mazda 3,32500,2012,6,177000,Essence,Manuelle,gabes
3448,Renault,CAPTUR,Renault CAPTUR,51000,2016,6,9000,Essence,Manuelle,mahdia
3449,Citroen,C4,Citroen C4,25000,2010,6,141000,Essence,Manuelle,manouba
3450,MERCEDES-BENZ,ClasseA,MERCEDES-BENZ ClasseA,25000,2005,6,212000,Diesel,Manuelle,monastir
3451,ALFA,ROMEO156,ALFA ROMEO156,19000,1998,6,246000,Diesel,Manuelle,bizerte
3452,Volkswagen,Passat,Volkswagen Passat,30000,2005,6,159000,Diesel,Manuelle,medenine
3453,Audi,A3Sportback,Audi A3Sportback,90000,2017,6,90000,Essence,Automatique,gabes
3454,BMW,SÉRIE3,BMW SÉRIE3,58000,2013,6,236000,Diesel,Manuelle,gabes
3455,Mazda,2,Mazda 2,46500,2016,6,159000,Essence,Manuelle,mahdia
3456,Toyota,YARISSEDAN,Toyota YARISSEDAN,49000,2019,6,20000,Essence,Manuelle,gabes
3457,Ford,FOCUSBERLINE,Ford FOCUSBERLINE,49000,2016,6,110000,Essence,Manuelle,medenine
3458,MERCEDES-BENZ,ClasseA,MERCEDES-BENZ ClasseA,73000,2015,6,150000,Essence,Automatique,bizerte
3459,Mazda,3,Mazda 3,69000,2017,6,54000,Essence,Manuelle,jendouba
3460,Ford,Focus,Ford Focus,39000,2016,6,145000,Essence,Manuelle,manouba
3461,Citroen,C4,Citroen C4,41000,2015,6,108000,Essence,Manuelle,manouba
3462,Renault,Megane,Renault Megane,22000,2003,6,163000,Essence,Manuelle,gafsa
3463,Citroen,C4,Citroen C4,40500,2012,6,162000,Diesel,Manuelle,bizerte
3464,Toyota,C-HR,Toyota C-HR,67500,2018,6,50000,Essence,Manuelle,gabes
3465,Ford,Focus,Ford Focus,22000,2010,6,220000,Essence,Manuelle,gabes
3466,Renault,Fluence,Renault Fluence,36000,2015,6,168000,Diesel,Manuelle,gafsa
3467,Mazda,2SEDAN,Mazda 2SEDAN,42000,2016,6,102000,Essence,Manuelle,zaghouan
3468,Nissan,Qashqai,Nissan Qashqai,90000,2019,6,8000,Essence,Manuelle,beja
3469,Seat,Ibiza,Seat Ibiza,75000,2020,6,4000,Essence,Automatique,monastir
3470,Audi,Q2,Audi Q2,87000,2019,6,69000,Essence,Automatique,monastir
3471,Citroen,C4,Citroen C4,35500,2012,6,97250,Essence,Manuelle,monastir
